time,strain,signal_type,experiment_type,signal_value
0.3333333333,HXT4_GFP_std1_delta,fluorescence,hat_glucose_0p2_percent,0.06104491545
0.3333333333,HXT4_GFP_std1_delta,fluorescence_sem,hat_glucose_0p2_percent,0.04809668105
0.3333333333,HXT4_GFP_std1_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.3333333333,HXT4_GFP_std1_delta,processed_cy5,hat_glucose_0p2_percent,618.1817898500001
0.4166666667,HXT4_GFP,cy5,hat_glucose_0p2_percent,723.3436834
0.4166666667,HXT4_GFP,fluorescence,hat_glucose_0p2_percent,0.052488402498
0.4166666667,HXT4_GFP,fluorescence_sem,hat_glucose_0p2_percent,0.05656249575200001
0.4166666667,HXT4_GFP,glucose_proxy,hat_glucose_0p2_percent,0.0
0.4166666667,HXT4_GFP,processed_cy5,hat_glucose_0p2_percent,737.5309263
0.4166666667,HXT4_GFP_mig1_delta,cy5,hat_glucose_0p2_percent,827.2623106000001
0.4166666667,HXT4_GFP_mig1_delta,fluorescence,hat_glucose_0p2_percent,0.019490772843
0.4166666667,HXT4_GFP_mig1_delta,fluorescence_sem,hat_glucose_0p2_percent,0.044606667375000006
0.4166666667,HXT4_GFP_mig1_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.4166666667,HXT4_GFP_mig1_delta,processed_cy5,hat_glucose_0p2_percent,879.7093518500001
0.4166666667,HXT4_GFP_mth1_delta,cy5,hat_glucose_0p2_percent,737.89539475
0.4166666667,HXT4_GFP_mth1_delta,fluorescence,hat_glucose_0p2_percent,5.0502497994999995
0.4166666667,HXT4_GFP_mth1_delta,fluorescence_sem,hat_glucose_0p2_percent,0.7458096510500001
0.4166666667,HXT4_GFP_mth1_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.4166666667,HXT4_GFP_mth1_delta,processed_cy5,hat_glucose_0p2_percent,819.1245888000001
0.4166666667,HXT4_GFP_rgt2_delta,cy5,hat_glucose_0p2_percent,831.9705882000001
0.4166666667,HXT4_GFP_rgt2_delta,fluorescence,hat_glucose_0p2_percent,0.041807564165
0.4166666667,HXT4_GFP_rgt2_delta,fluorescence_sem,hat_glucose_0p2_percent,0.049418124705
0.4166666667,HXT4_GFP_rgt2_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
